initial_weight_kg,age_days,sex_male,bos_indicus_proportion_pct,supplement_amount_kg_day,supplement_crude_protein_pct,supplement_metabolizable_energy,supplementation_frequency_days_week,forage_crude_protein_pct,forage_digestibility_pct,days_on_pasture,paddock_rotation,transport_stress,mean_temperature_c,accumulated_rainfall_mm,days_since_health_event,health_event_duration_days,recent_vaccination,recent_deworming,adg_kg_day
185,620,0,50,0.248,30,2,7,10.42,61.2,381,1,1,29,47.8,0,0,0,0,0.330708661417323
168,620,0,50,0.248,30,2,7,10.42,61.2,450,1,1,29,47.8,0,0,0,0,0.328888888888889
153,620,0,50,0.248,30,2,7,10.42,61.2,450,1,1,29,47.8,0,0,0,0,0.317777777777778
130,620,0,50,0.248,30,2,7,10.42,61.2,450,1,1,29,47.8,0,0,0,0,0.468888888888889
156,620,0,50,0.248,30,2,7,10.42,61.2,450,1,1,29,47.8,0,0,0,0,0.342222222222222
192,620,0,50,0.248,30,2,7,10.42,61.2,450,1,1,29,47.8,0,0,0,0,0.342222222222222
185,620,0,50,0.248,30,2,7,10.42,61.2,450,1,1,29,47.8,0,0,0,0,0.382222222222222
25,890,0,50,0.248,30,2,7,10.42,61.2,890,1,1,29,47.8,0,0,0,0,0.426966292134831
113,833,0,37.5,0.966,35,2.2,7,10.42,61.2,653,1,0,31,47.8,0,0,0,0,0.320061255742726
184,833,0,50,1.221,35,2.2,7,10.42,61.2,653,1,0,31,47.8,0,0,0,0,0.341500765696784
299,864,0,50,1.155,35,2.2,7,10.42,61.2,234,1,0,31,47.8,0,0,0,0,0.367521367521368
306,684,0,50,195,35,2.2,7,10.42,61.2,234,1,0,31,47.8,20,10,0,0,0.252136752136752
138,863,0,50,1.173,35,2.2,7,10.42,61.2,653,1,0,31,47.8,0,0,0,0,0.39509954058193
100,863,0,50,177,35,2.2,7,10.42,61.2,653,1,0,31,47.8,0,0,0,0,0.396630934150077
281,834,0,50,15,35,2.2,7,10.42,61.2,234,1,0,31,47.8,0,0,0,0,0.294871794871795
191,864,0,50,1.212,35,2.2,7,10.42,61.2,654,1,0,31,47.8,20,10,0,0,0.325688073394495
140,864,0,50,1.11,35,2.2,7,10.42,61.2,654,1,0,31,47.8,0,0,0,0,0.351681957186544
208,424,0,50,0.78,30,2,7,10.42,61.2,185,1,0,31,47.8,0,0,0,0,0.281081081081081
241,744,0,50,0.972,30,2,7,10.42,61.2,234,1,0,31,47.8,0,0,0,0,0.354700854700855
218,424,0,50,0.69,30,2,7,10.42,61.2,184,1,0,31,47.8,0,0,0,0,0.652173913043478
212,424,0,50,0.915,30,2,7,10.42,61.2,184,1,0,31,47.8,0,0,0,0,0.505434782608696
195,409,0,50,0.708,30,2,7,10.42,61.2,184,1,0,31,47.8,0,0,0,0,0.222826086956522
136,467,0,50,0.825,30,2,7,10.42,61.2,317,1,0,31,47.8,0,0,0,0,0.438485804416404
236,384,0,50,0.834,30,2,7,10.42,61.2,184,1,0,31,47.8,0,0,0,0,0.228260869565217
211,384,0,50,0.765,30,2,7,10.42,61.2,184,1,0,31,47.8,0,0,0,0,0.239130434782609
251,684,0,37.5,0.804,30,2,7,10.42,61.2,234,1,0,31,47.8,1,10,0,0,0.726495726495727
165,467,0,50,0.78,30,2,7,10.42,61.2,317,1,0,31,47.8,0,0,0,0,0.299684542586751
219,767,0,50,0.93,30,2,7,10.42,61.2,317,1,0,31,47.8,0,0,0,0,0.287066246056782
159,775,0,50,0.822,30,2,7,10.42,61.2,595,1,0,31,47.8,0,0,0,0,0.19327731092437
162,467,0,50,0.726,30,2,7,10.42,61.2,317,1,0,31,47.8,0,0,0,0,0.252365930599369
220,530,0,0,1.11,35,2.2,7,6.58,53.8,383,1,0,24,202.4,0,0,0,0,0.391644908616188
162,530,0,100,0.684,35,2.2,7,6.58,53.8,277,1,0,24,202.4,0,0,0,0,0.23826714801444
204,530,0,0,1.11,35,2.2,7,6.58,53.8,383,1,0,24,202.4,0,0,0,0,0.433420365535248
192,530,0,100,0.786,35,2.2,7,6.58,53.8,277,1,0,24,202.4,0,0,0,0,0.252707581227437
188,530,0,100,0.717,35,2.2,7,6.58,53.8,277,1,0,24,202.4,0,0,0,0,0.184115523465704
197,530,0,100,12,35,2.2,7,6.58,53.8,383,1,0,24,202.4,0,0,0,0,0.373368146214099
152,530,0,50,0.912,35,2.2,7,6.58,53.8,383,1,0,24,202.4,0,0,0,0,0.396866840731071
165,530,0,50,0.834,35,2.2,7,6.58,53.8,383,1,0,24,202.4,0,0,0,0,0.295039164490862
149,530,0,100,0.87,35,2.2,7,6.58,53.8,383,1,0,24,202.4,0,0,0,0,0.368146214099217
181,530,0,100,0.846,35,2.2,7,6.58,53.8,383,1,0,24,202.4,0,0,0,0,0.263707571801567
172,530,0,100,0.891,35,2.2,7,6.58,53.8,383,1,0,24,202.4,0,0,0,0,0.326370757180157
196,530,0,100,0.96,35,2.2,7,6.58,53.8,383,1,0,24,202.4,0,0,0,0,0.323759791122715
179,530,0,100,0.864,35,2.2,7,6.58,53.8,383,1,0,24,202.4,0,0,0,0,0.284595300261097
186,530,0,50,132,35,2.2,7,6.58,53.8,383,1,0,24,202.4,0,0,0,0,0.412532637075718
195,530,0,50,12,35,2.2,7,6.58,53.8,383,1,0,24,202.4,0,0,0,0,0.378590078328982
185,530,0,50,0.948,35,2.2,7,6.58,53.8,383,1,0,24,202.4,0,0,0,0,0.342036553524804
144,530,0,50,0.783,35,2.2,7,6.58,53.8,383,1,0,24,202.4,0,0,0,0,0.305483028720627
98,530,0,50,0.672,35,2.2,7,6.58,53.8,383,1,0,24,202.4,0,0,0,0,0.328981723237598
147,530,0,50,0.825,35,2.2,7,6.58,53.8,383,1,0,24,202.4,0,0,0,0,0.33420365535248
138,530,0,50,0.573,35,2.2,7,6.58,53.8,259,1,0,24,202.4,0,0,0,0,0.204633204633205
116,530,0,50,0.528,35,2.2,7,11.35,63,259,1,0,25,202.4,0,0,0,0,0.231660231660232
121,530,0,50,0.573,35,2.2,7,11.35,63,259,1,0,25,202.4,0,0,0,0,0.27027027027027
118,530,0,50,0.555,35,2.2,7,11.35,63,259,1,0,25,202.4,0,0,0,0,0.258687258687259
120,530,0,50,0.525,35,2.2,7,11.35,63,154,1,0,25,202.4,0,0,0,0,0.357142857142857
176,530,0,50,0.825,35,2.2,7,11.35,63,301,1,0,25,202.4,0,0,0,0,0.32890365448505
173,530,0,50,0.825,35,2.2,7,6.58,53.8,301,1,0,20,202.4,0,0,0,0,0.338870431893688
161,530,0,50,0.819,35,2.2,7,6.58,53.8,301,1,0,20,202.4,0,0,0,0,0.372093023255814
134,530,0,50,0.789,35,2.2,7,6.58,53.8,301,1,0,20,202.4,0,0,0,0,0.428571428571429
