sexo,raca,idade_dias,peso_inicial_kg,qualidade_pasto,tipo_pasto,taxa_lotacao_ua_ha,area_pasto_ha_animal,quantidade_suplemento_kg_dia,suplementacao_acesso_livre,evento_sanitario_recente,tipo_evento_sanitario,vermifugacao_recente,vacina_recente,tratamento_recente,temperatura_media,estacao_ano,rotacao_piquete,condicao_corporal,tipo_suplementato,frequencia_suplementacao_semana,facilidade_acesso_agua,severidade_evento,estresse_transporte,estresse_manejo,dias_evento_sanitario,tipo_sistema_manejo,dias_permanecia,tipo_fonte_agua,saida_ganho_total_kg,saida_gmd_kg_dia
F,anelorada,620,185,media,decumbens_tanzania_mg4_marandu,1,0.857142857142857,0.248,sim,nao,nao,nao,nao,nao,29,verao,sim,muito_boa,sal_proteinado_01,7,muito_facil,nao,sim,nao,nao,piquete_rotacionado,381,poco_artesiano,126,0.330708661417323
F,anelorada,620,168,media,decumbens_tanzania_mg4_marandu,1,0.857142857142857,0.248,sim,nao,nao,nao,nao,nao,29,verao,sim,muito_boa,sal_proteinado_01,7,muito_facil,nao,sim,nao,nao,piquete_rotacionado,450,poco_artesiano,148,0.328888888888889
F,anelorada,620,153,media,decumbens_tanzania_mg4_marandu,1,0.857142857142857,0.248,sim,nao,nao,nao,nao,nao,29,verao,sim,muito_boa,sal_proteinado_01,7,muito_facil,nao,sim,nao,nao,piquete_rotacionado,450,poco_artesiano,143,0.317777777777778
F,anelorada,620,130,media,decumbens_tanzania_mg4_marandu,1,0.857142857142857,0.248,sim,nao,nao,nao,nao,nao,29,verao,sim,muito_boa,sal_proteinado_01,7,muito_facil,nao,sim,nao,nao,piquete_rotacionado,450,poco_artesiano,211,0.468888888888889
F,anelorada,620,156,media,decumbens_tanzania_mg4_marandu,1,0.857142857142857,0.248,sim,nao,nao,nao,nao,nao,29,verao,sim,muito_boa,sal_proteinado_01,7,muito_facil,nao,sim,nao,nao,piquete_rotacionado,450,poco_artesiano,154,0.342222222222222
F,anelorada,620,192,media,decumbens_tanzania_mg4_marandu,1,0.857142857142857,0.248,sim,nao,nao,nao,nao,nao,29,verao,sim,muito_boa,sal_proteinado_01,7,muito_facil,nao,sim,nao,nao,piquete_rotacionado,450,poco_artesiano,154,0.342222222222222
F,anelorada,620,185,media,decumbens_tanzania_mg4_marandu,1,0.857142857142857,0.248,sim,nao,nao,nao,nao,nao,29,verao,sim,muito_boa,sal_proteinado_01,7,muito_facil,nao,sim,nao,nao,piquete_rotacionado,450,poco_artesiano,172,0.382222222222222
F,anelorada,890,25,media,decumbens_tanzania_mg4_marandu,1,0.857142857142857,0.248,sim,nao,nao,nao,nao,nao,29,verao,sim,muito_boa,sal_proteinado_01,7,muito_facil,nao,sim,nao,nao,piquete_rotacionado,890,poco_artesiano,380,0.426966292134831
F,girolando,833,113,boa,decumbens_tanzania_mg4_marandu,1,1.33333333333333,0.966,sim,nao,nao,nao,nao,nao,31,verao,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,653,poco_artesiano,209,0.320061255742726
F,anelorada,833,184,boa,decumbens_tanzania_mg4_marandu,1,1.33333333333333,1.221,sim,nao,nao,nao,nao,nao,31,verao,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,653,poco_artesiano,223,0.341500765696784
