"Carimbo de data/hora","Data de entrada no lote","Data de nascimento","Peso inicial (kg)","Sexo","Composição racial","Espécies forrageiras do piquete","Quantidade de suplemento (kg/dia)","PB do suplemento (% MS)","Energia metabolizável do suplemento (Mcal/kg MS)","Frequência de suplementação (dias/semana)","Rotação de piquete","Data da ultima pesagem","Estresse de transporte (últimos 7 dias da ultima pesagem)","Evento sanitário recente","Data do evento sanitário","Duração do evento (dias)","Vacinação recente (últimos 7 dias)","Vermifugação recente (últimos 7 dias)","Peso de saída (kg)"
"2026/06/16 9:00:00 AM GMT-3","2025-04-28","2024-06-02","248","Fêmea","Anelorado","Marandu;MG-4;Decumbens;Tanzania","0.816","30","20","7","Sim","2025-07-17","Não","Não","","","Não","Não","296"
"2026/06/16 9:00:00 AM GMT-3","2024-11-19","2024-03-04","210","Fêmea","Anelorado","Marandu;MG-4;Decumbens;Tanzania","0.925","30","20","7","Sim","2025-11-28","Não","Não","","","Não","Não","407"
"2026/06/16 9:00:00 AM GMT-3","2025-04-28","2024-02-03","299","Fêmea","½ sangue (F1 Taurino × Zebuíno)","Marandu;MG-4;Decumbens;Tanzania","1.026","30","20","7","Sim","2025-11-28","Não","Não","","","Não","Não","385"
"2026/06/16 9:00:00 AM GMT-3","2025-04-28","2023-11-05","306","Fêmea","Nelore","Marandu;MG-4;Decumbens;Tanzania","1.006","30","20","7","Sim","2025-11-28","Não","Não","","","Não","Não","365"
"2026/06/16 9:00:00 AM GMT-3","2024-11-19","2023-12-05","279","Fêmea","Anelorado","Marandu;MG-4;Decumbens;Tanzania","1.012","30","20","7","Sim","2025-11-28","Não","Não","","","Não","Não","396"
"2026/06/16 9:00:00 AM GMT-3","2024-11-19","2024-05-03","191","Fêmea","Anelorado","Marandu;MG-4;Decumbens;Tanzania","0.842","30","20","7","Sim","2025-11-28","Não","Não","","","Não","Não","370"
"2026/06/16 9:00:00 AM GMT-3","2024-11-19","2024-05-08","181","Fêmea","Anelorado","Marandu;MG-4;Decumbens;Tanzania","0.810","30","20","7","Sim","2025-11-28","Não","Não","","","Não","Não","359"
"2026/06/16 9:00:00 AM GMT-3","2024-11-19","2024-05-13","129","Fêmea","½ sangue (F1 Taurino × Zebuíno)","Marandu;MG-4;Decumbens;Tanzania","0.676","30","20","7","Sim","2025-11-28","Não","Não","","","Não","Não","322"
"2026/06/16 9:00:00 AM GMT-3","2025-04-28","2024-01-04","281","Fêmea","Angus","Marandu;MG-4;Decumbens;Tanzania","0.947","30","20","7","Sim","2025-11-28","Não","Não","","","Não","Não","350"
"2026/06/16 9:00:00 AM GMT-3","2024-11-26","2024-03-01","215","Fêmea","Anelorado","Marandu;MG-4;Decumbens;Tanzania","0.928","30","20","7","Sim","2025-11-28","Não","Não","","","Não","Não","404"
"2026/06/16 9:00:00 AM GMT-3","2025-02-12","2024-10-15","126","Fêmea","Anelorado","Marandu;MG-4;Decumbens;Tanzania","0.678","30","20","7","Sim","2026-01-24","Não","Não","","","Não","Não","326"
"2026/06/16 9:00:00 AM GMT-3","2025-06-03","2024-11-05","195","Fêmea","Anelorado","Marandu;MG-4;Decumbens;Tanzania","0.743","30","20","7","Sim","2026-01-24","Não","Não","","","Não","Não","300"
"2026/06/16 9:00:00 AM GMT-3","2025-06-03","2024-11-25","162","Fêmea","Anelorado","Marandu;MG-4;Decumbens;Tanzania","0.600","30","20","7","Sim","2026-01-24","Não","Não","","","Não","Não","238"
